Title,Channel Name,Channel Logo,Thumbnail URL,Video URL,Views,Time Uploaded
Most Viral Phonk/Funk 2026 🎵,NTL Funk,https://yt3.ggpht.com/JCBvyAkd1Zf4GsM6-_xMorkSQINt0sOCZA_kZWUosp-A0_ypaKH6bXNOn9Ov3CVuuOTI-leTlw=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/CuR4HJsq5RA/hqdefault_1866.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLAO54ahfZJP1No4_rsknjXT9V3wew,https://www.youtube.com/watch?v=CuR4HJsq5RA&list=RDCuR4HJsq5RA&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,92K views,1 day ago
BEST PHONK/FUNK 2026 TRENDING VIRAL BRAZALIAN FUNK 🇧🇷🎧 AURA +++ PLAYLIST,PHONK FORCE,https://yt3.ggpht.com/cBGUG95ugLNjGPx0aOXSVbmMP4BcLaVvlQ4TWdAhriRzXXOoOAdTLby9-O45VskHx0Ybs1a3=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Ab38lAbRAjo/hqdefault_25000.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLCCndHBT6HtD24N4WyzjdLPw66e6w,https://www.youtube.com/watch?v=Ab38lAbRAjo&list=RDAb38lAbRAjo&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,460K views,3 weeks ago
ABSOLUTE AURA ♾️ | 1 HOUR VIRAL PHONK PLAYLIST 2025–26 🔥 TRENDING PHONK  HITS ⚡,Limitless Beatz,https://yt3.ggpht.com/0tGcRbJ1Ip4aNzsZtGh9lHSrQHjNjUI2eksS0ESACbX6d-gMuX-s7-tkC1uH7ucfoQOXX2nHrg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/f2uFww6zryc/hqdefault_12000.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLCaw3dh5mwC-MEI7CCIjknX0_5k_Q,https://www.youtube.com/watch?v=f2uFww6zryc&list=RDf2uFww6zryc&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,654K views,2 months ago
Mix of the BEST BRAZILIAN PHONK of 2025-2026🎵,Superior,https://yt3.ggpht.com/tOHN2yrb_G_Kn8HxhLB1Cc-ueLyX-s5B-QiuKyaD-0zUQZVUjlS6cLQvzQWmPBgkAGNUz6v-=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/m_52WB-sYd4/hqdefault_5000.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLB705LYHSBTGg0Ab51Z7t_c1kHpLQ,https://www.youtube.com/watch?v=m_52WB-sYd4&list=RDm_52WB-sYd4&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,1.3M views,1 month ago
🔥VIRAL PHONK PLAYLIST 2026 🏎️ Best Drift & Aggressive Phonk Mix (Slowed + Reverb) 🌌,PHONK_MUSIC_RA,https://yt3.ggpht.com/083CvCSKd1ojAB5ok2l8Fc3lxO6RJFhK9Trqb2Egf-lqwc2H31eAp_-2CV9ob7XQnckd7rAUPQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/-DIVmiOOY64/hqdefault.jpg,https://www.youtube.com/watch?v=-DIVmiOOY64&list=RD-DIVmiOOY64&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,1.6M views,1 month ago
TOP 30 BRAZILIAN PHONK 2026 🎧 VIRAL FUNK MIX,PHONK SESSIONS,https://yt3.ggpht.com/t63YhQI-cpUECzc0If3PhZQo3hZbOrxJhQAJgraF98kQkojJhTFabbARmErq74YM_QpW8jYCxw=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/U2JHQbfDOXw/hqdefault_9933.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLBZ8KW1qudaqO_2-csUs7eo_r7TCg,https://www.youtube.com/watch?v=U2JHQbfDOXw&list=RDU2JHQbfDOXw&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,493K views,1 month ago
TOP VIRAL PHONK/FUNK PLAYLIST 🔥 | TIKTOK PHONK 2025🔥,ARD PHONK,https://yt3.ggpht.com/xjcscjAyZEfJH0U2EXWUXJO_wuzM3NOh1afS5sDuzX7cklvLUYQw86MjjlgeeWuYKmZ42JmI=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/wBcptk5YWQI/hqdefault_0.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLDNbbPJKI6aTy0TZiUUlmcMHYyWMw,https://www.youtube.com/watch?v=wBcptk5YWQI&list=RDwBcptk5YWQI&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,41M views,4 months ago
Viral Phonk/Funk Songs 2026 Playlist 🎵,RAVE PHONKS,https://yt3.ggpht.com/G_6BJr6p-zNVoc48Ok2iKaIeZMYjBB-sHkNwbpvuPrk6_WfsK2fy_8jgve48Jfnxmzqxh1p8rg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/ImdttHabv0c/hqdefault_13866.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLAFl2w-F_zQnz5hZtYEBzaORdvBJA,https://www.youtube.com/watch?v=ImdttHabv0c&list=RDImdttHabv0c&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,2.6M views,3 months ago
35+ Phonk/Funk Edit Audios For Aura Farming at 2AM +Timestamps✩,nyrile𓍼.ᐟ,https://yt3.ggpht.com/saJnS4oDUbXqGYqmeHOSy0XlMNJVCub780VlHSJovwVMK9hEKzyId8Z7rPUGGXBoGumPg0qEmg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/U7fGq-ZnXqY/hqdefault_18000.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLCC0F3CpaK5yg5HzZ0q_fJJHqQ4nQ,https://www.youtube.com/watch?v=U7fGq-ZnXqY&list=RDU7fGq-ZnXqY&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,1.2M views,1 month ago
45MIN⚡TOP PHONK MUSIC 2025⚡TRENDING PHONK HITS,Shinwa,https://yt3.ggpht.com/W7KHNwPd_i099GzU2MsO6l9utbqnQIXH__g6XxfFOvTtJ03wQoV0wsNxp31ZGmjHIRKcCK09=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/sNOmm-7j1j0/hqdefault_30000.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLBlLpNtectGkzGAcADCo32-HDevHg,https://www.youtube.com/watch?v=sNOmm-7j1j0&list=RDsNOmm-7j1j0&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,13M views,6 months ago
TOP 10 VIRAL PHONK/FUNK 2026 🔥 BRAZILIAN PHONK MIX,PHONK MANIA,https://yt3.ggpht.com/Z6fMNZ6UjKlqQQiu9Ia-SHULaqPjL-_UEB1mXFY_OO7HD8ELPADEUWo0l61vVgdhxZFHaHiHnCk=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/JEmx5J85_tQ/hqdefault_15966.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLB8Df5ULvi8sw2D_K-yYkxjWIOpUw,https://www.youtube.com/watch?v=JEmx5J85_tQ&list=RDJEmx5J85_tQ&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,957K views,2 months ago
1 HOUR ⚡ VIRAL PHONK/FUNK SONGS 2026 | TRENDING PHONK ON JUNE 2026,PHONK FORCE,https://yt3.ggpht.com/cBGUG95ugLNjGPx0aOXSVbmMP4BcLaVvlQ4TWdAhriRzXXOoOAdTLby9-O45VskHx0Ybs1a3=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/bHqGOcZX7-o/hqdefault_17866.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLAtUCo0M6WTgU3MpaGg8BwonBKaDA,https://www.youtube.com/watch?v=bHqGOcZX7-o&list=RDbHqGOcZX7-o&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwHSBwkJPgsBhyohjO8%3D,219K views,12 days ago
MONTAGEM UNKNOWN – AKXNESHIVA | Brazilian Phonk All Versions Mix,Only#Phonk,https://yt3.ggpht.com/qAse79XCLvJmBvrRmch_oZ07CmCY7pmTIpBfiIa0hky5SgVwZiyzP_YmZNxUHi0y1UuBmOhmDQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/bKcFs9q5MgA/hqdefault_6966.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLALDbaGMk2qNOGNQcXa8KHjMdDIQw,https://www.youtube.com/watch?v=bKcFs9q5MgA&list=RDbKcFs9q5MgA&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,3.2M views,4 months ago
TOP 30 BRAZILIAN PHONK/FUNK 2026 ⏰ DARK PHONK MIX,PHONK HOUR,https://yt3.ggpht.com/BncYN9C1rFZPNFTCabBlzzhSpE4GNyuCsoJqsP93N1FIOBE35VJvItBorl1AIta9uFVTTyvg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/8Obt0fdBZ9Y/hqdefault_4933.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLAQI4Y71r357y2qFV_cD7qRKsSmyw,https://www.youtube.com/watch?v=8Obt0fdBZ9Y&list=RD8Obt0fdBZ9Y&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,344K views,1 month ago
"ADRENALINE #3 📈 | Playlist That Make you the Main Character [BRAZIL PHONK, FUNK , VIRAL]",CURSEDEVIL,https://yt3.ggpht.com/PehUO0D2IeJ0eXgklZiYHBOzSYgCzvgqxDg_sJkBoUdo6fmMYfSgMPaWWFSlz-FT0nqUHgmK=s88-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/8dAf2yTHXfM/hqdefault.jpg,https://www.youtube.com/watch?v=8dAf2yTHXfM&list=RD8dAf2yTHXfM&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwHSBwkJPgsBhyohjO8%3D,947K views,5 months ago
BEST PHONK/FUNK 2026 TRENDING VIRAL BRAZALIAN FUNK 🇧🇷🎧 AURA +++ PLAYLIST,PHONK FORCE,https://yt3.ggpht.com/cBGUG95ugLNjGPx0aOXSVbmMP4BcLaVvlQ4TWdAhriRzXXOoOAdTLby9-O45VskHx0Ybs1a3=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Ab38lAbRAjo/hqdefault_25000.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLCCndHBT6HtD24N4WyzjdLPw66e6w,https://www.youtube.com/watch?v=Ab38lAbRAjo&list=RDAb38lAbRAjo&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,460K views,3 weeks ago
Top 10 Viral  AURA Phonk songs,PUNI LIVE,https://yt3.ggpht.com/SkzvFb8iDTiAXgSnYOVIMmGY18q97wCeFoYrOqknaMWkRsmQ4sHIsBoUrzKtqgmQtWB115krsA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/t4GUZYIm5TM/hqdefault_216900.jpg?sqp=-oaymwFFCNACELwBSFryq4qpAzcIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-BIAC6AKKAgwIABABGF8gEyh_MA-4AvMY&rs=AOn4CLBhyhLW47exbdD5SVdfS9EDZiqKMA,https://www.youtube.com/watch?v=t4GUZYIm5TM&list=RDt4GUZYIm5TM&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,3.6M views,1 year ago
𝗛𝗢𝗧 𝗣𝗵𝗼𝗻𝗸 𝗔𝘂𝗱𝗶𝗼𝘀 𝗧𝗵𝗮𝘁 𝗚𝗶𝘃𝗲𝘀 𝗠𝗮𝗶𝗻 𝗖𝗵𝗮𝗿𝗮𝗰𝘁𝗲𝗿 𝗩𝗶𝗯𝗲🔥🍷🌝 #audio #phonk #100k #viralvideo,★ 𝗗𝗮𝗺𝗺𝘆_𝘅 ★,https://yt3.ggpht.com/roBblpJg0HIbJefHeGoq42dprTII2RtV031ry_apyXGylUrMw9DUz14x1Ck08_jO9ujEayFyFw=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/9s0oQ_sQgo4/hqdefault_26866.jpg?sqp=-oaymwErCNACELwBSFryq4qpAx0IARUAAIhCGAHYAQHiAQoIGBACGAY4AUABuALzGA==&rs=AOn4CLBm2Nk-LSJIp3t3eyH6UXwbpAVnzQ,https://www.youtube.com/watch?v=9s0oQ_sQgo4&list=RD9s0oQ_sQgo4&start_radio=1&pp=ygULcGhvbmsgc29uZ3OgBwE%3D,1.6M views,4 months ago
